Question ID,Category,Question Text,Answer Text,CPA Reviewed,Reference Law,Notes
Q077,closing,How do we track accrued bonuses and commissions?,"Accrued bonuses and commissions should be estimated each month based on plan metrics and recorded as Dr Compensation Expense / Cr Bonus Payable to match cost with underlying revenue generation, then trued up when paid.",Done,Reference Law: ASC 710-10-25-6,For SaaS Startup 
Q078,closing,Should we close out zero-balance accounts every period?,"Zero-balance accounts may remain in the chart for history, but closing them each period simplifies trial-balance reviews and prevents accidental postings, enhancing clarity without affecting equity if balances are truly zero.",Done,Reference Law: Professional practice; no specific ASC,For SaaS Startup 
Q079,closing,How do we check for duplicate or missing entries during review?,"Duplicate or missing entries are detected by running exception reports, comparing sub-ledgers to GL, scanning for unusual account movements, and using data-analytic tools, because early detection averts financial-statement misstatement and audit adjustments.",Done,Reference Law: AU-C 240 (fraud risk),For SaaS Startup 
Q080,closing,What’s the correct way to reverse accrual entries in the following period?,"Accrual reversals should be auto-reversed on the first day of the next month to prevent duplicate expense when the actual invoice posts, keeping period expenses clean and reducing manual cleanup.",Done,Reference Law: ASC 250-10-45,For SaaS Startup 
Q081,closing,How do we prepare adjusting entries for credit card purchases?,"Credit-card purchases require an end-of-month accrual for unposted charges: Dr Expense / Cr Credit-Card Payable, then reconciliation to the statement when it arrives to ensure expenses hit the correct period and liabilities are complete.",Done,Reference Law: ASC 405-20,For SaaS Startup 
Q082,closing,Can we use closing software like FloQast or QuickBooks for our size?,"FloQast, QuickBooks, or similar close-management tools are suitable for seed- to Series B-stage companies because they integrate with major ERPs, automate reconciliations, and enforce task ownership, thereby compressing close cycles and enhancing SOX-style controls even before an audit is required.",Done,Reference Law: COSO Framework,For SaaS Startup 
Q083,closing,What are best practices for closing books as a remote team?,"Remote teams close effectively by using cloud GLs, shared close calendars, secure file-sharing, and regular video check-ins, combined with clear segregation of duties and e-sign approvals, maintaining control effectiveness despite physical dispersion.",Done,Reference Law: COSO Principle 3 (control environment),For SaaS Startup 
Q084,closing,How do we handle closing if our fiscal year is not calendar year?,"Non-calendar fiscal-year entities follow the same monthly process but align quarter- and year-end tasks to their chosen year-end, ensuring tax filings and audit workpapers reference the correct fiscal period.",Done,Reference Law: IRC §441,For SaaS Startup 
Q085,closing,What entries do we need for foreign currency revaluation?,"Foreign-currency revaluation requires restating monetary assets and liabilities at month-end spot rates and recording gains or losses to earnings, ensuring the balance-sheet amounts reflect current exchange values and income captures currency effects.",Done,Reference Law: ASC 830-20,For SaaS Startup 
Q086,closing,How do we adjust for accounts payable not yet recorded?,"Accrual for unrecorded AP involves identifying goods or services received but not invoiced, estimating cost, and posting Dr Expense / Cr Accrued AP, preventing understatement of liabilities and expense deferral.",Done,Reference Law: ASC 450-20-25,For SaaS Startup 
Q087,closing,What steps should we take to prepare financials for investor reporting?,"Investor-ready financials demand GAAP-compliant statements, variance commentary, KPI schedules (ARR, churn, CAC/LTV), and footnote disclosures, so prepare analytic packages alongside the close to facilitate board and investor reporting without rework.",Done,Reference Law: ASC 205 and SEC Regulation S-X (as best practice),For SaaS Startup 
Q088,closing,How do we handle changes in valuation for equity grants during close?,"Equity-grant valuation changes are reflected by updating stock-compensation expense for modifications or market-condition shifts, recalculating fair value, and truing up cumulative expense, keeping ASC 718 compliance intact before issuing management reports.",Done,Reference Law: ASC 718-20-35,For SaaS Startup 
Q089,closing,What are common closing mistakes for SaaS startups to avoid?,"Common SaaS closing mistakes include failing to release deferred revenue, omitting usage-based accruals, not reserving for chargebacks, and bypassing Stripe fee gross-up, all of which distort MRR and gross margin, so a tailored close checklist and CPA oversight mitigate these errors.",Done,Reference Law: ASC 606 and ASC 310,For SaaS Startup 
Q090,closing,How long should closing the books take for a seed-stage startup?,"A seed-stage startup should strive for a five- to ten-business-day close, balancing cost and timeliness; shorter closes become feasible as systems mature and routine tasks are automated, giving management near-real-time insight without excessive process burden.",Done,Reference Law: Industry practice; no specific ASC,For SaaS Startup 
Q091,Client Advisory,What KPIs should we be tracking as an early-stage SaaS company?,"Early-stage SaaS companies should focus on KPIs such as Annual Recurring Revenue (ARR), Monthly Recurring Revenue (MRR), Gross Margin, Customer Acquisition Cost (CAC), Customer Lifetime Value (LTV), Net Dollar Retention (NDR), Churn Rate, Burn Multiple, and Runway because these metrics directly capture subscription traction, profitability, capital efficiency, and longevity, allowing management and investors to gauge product-market fit and operating leverage while aligning with ASC 606’s emphasis on recurring revenue streams; disciplined KPI tracking also feeds board packs and valuation models, yet definitions can vary so a CPA should tailor calculations to your data architecture.",Done,Reference Law: ASC 606-10-25 (revenue recognition); industry benchmarks from SaaS Capital and OpenView.,For SaaS Startup 
Q092,Client Advisory,How do we calculate and benchmark our gross margin?,"Gross margin is calculated by subtracting cost of goods sold (hosting, support, payment-processing fees) from subscription revenue and dividing by revenue, then benchmarked against peers (70 %+ is strong for SaaS) because high software gross margins indicate scalable economics and compliance with GAAP’s requirement to present COGS separately enhances transparency for investors comparing efficiency; improved gross margin signals pricing power and disciplined infrastructure spend, though classification of costs must follow ASC 340 and ASC 720 guidance.",Done,Reference Law: ASC 225-10-45 (income statement presentation).,For SaaS Startup 
Q093,Client Advisory,What’s a good rule of thumb for budgeting R&D vs. marketing spend?,"A practical R&D-to-marketing budget split is roughly 40-50 % R&D and 20-30 % marketing in the seed-to-Series A phase, shifting gradually toward parity as the product matures, because early capital is best allocated to feature completeness and technical moat while maintaining sufficient demand generation; tracking spend by cost center also satisfies ASC 730 expensing rules and IRC §41 documentation for future credit claims, but stage, competitive intensity, and runway dictate final ratios.",Done,Reference Law: ASC 730; IRC §41.,For SaaS Startup 
Q094,Client Advisory,How can we forecast ARR and churn more accurately?,"Forecasting ARR and churn more accurately involves cohort-based modeling that segments customers by acquisition month, applies historical logo and revenue retention trends, and layers in pipeline conversion probabilities, because cohort analysis reflects customer behavior under ASC 606’s contract-level lens and reduces forecast bias; integrating a rolling twelve-month view and Monte-Carlo sensitivity further enhances accuracy, yet management assumptions should be revisited quarterly with actuals.",Done,Reference Law: ASC 606-10-50-12 (disaggregation disclosures).,For SaaS Startup 
Q095,Client Advisory,What financial model should we use to pitch to VCs?,"A bottoms-up three-statement model with detailed subscription drivers, cohort churn, and cash waterfall is preferred for VC pitches since it transparently links operational levers to GAAP financials, reconciles ARR to revenue under ASC 606, and highlights cash burn, runway, and valuation inputs; standardized templates (e.g., SaaS Metrics 2.0) facilitate investor diligence, but ensure all assumptions align with historical accounting treatments.",Done,Reference Law: ASC 230 (cash flows) and SEC Reg S-X presentation guidelines (best practice even while private).,For SaaS Startup 
Q096,Client Advisory,How should we structure pricing for our SaaS tiers?,"Tiered pricing should align value metrics (seats, usage units) with willingness-to-pay, featuring good-better-best bundles that encourage expansion ARR, because proper tiering maximizes LTV, supports ASC 606 stand-alone selling-price allocation, and simplifies revenue forecasting, while annual prepay discounts improve cash flow without compromising GAAP revenue timing.",Done,Reference Law: ASC 606-10-32-28 (allocation).,For SaaS Startup 
Q097,Client Advisory,What’s the right CAC to LTV ratio for our stage?,"For early-stage SaaS, a CAC-to-LTV ratio near 3:1 is considered healthy because it signals marketing efficiency and acceptable payback within twelve months, balancing aggressive growth with capital stewardship; calculating CAC from fully loaded sales and marketing spend and LTV from gross-margin-adjusted ARR ensures consistency with GAAP cost classifications.",Done,Reference Law: ASC 340-40 (customer-acquisition costs) for expense vs asset.,For SaaS Startup 
Q098,Client Advisory,Should we be cash-flow positive before raising a Series A?,"Positive operating cash flow before Series A is advantageous but not required; investors prioritize high-growth ARR with a burn multiple under 1.5 and clear path to breakeven, so maintaining sufficient runway (12–18 months) and demonstrable unit economics can justify continued losses in exchange for market capture; GAAP cash-flow reporting clarifies burn profile during diligence.",Done,Reference Law: ASC 230.,For SaaS Startup 
Q099,Client Advisory,How do we decide when to hire a full-time finance person?,"Hiring a full-time finance professional typically makes sense once annual revenue surpasses $1–2 million or transaction volume strains founder bandwidth, because timely GAAP close, KPI reporting, and fund-raising readiness become critical; early fractional-CFO support can bridge the gap and satisfy control requirements under COSO until full-time staff is justified.",Done,Reference Law: COSO Internal Control—Integrated Framework.,For SaaS Startup 
Q100,Client Advisory,How can we reduce burn without hurting growth?,"Burn reduction without stalling growth relies on prioritizing high-ROI marketing channels, renegotiating vendor spend, and extending annual prepay discounts, while avoiding head-count cuts that threaten product velocity, thereby lowering the burn multiple and improving investor optics yet preserving GAAP-compliant expense recognition; monthly variance analysis highlights quick wins.",Done,Reference Law: ASC 720 operational expense guidance.,For SaaS Startup 
Q101,Client Advisory,Should we use cash or accrual accounting for internal decision-making?,"Accrual accounting is superior for internal decision-making because it matches revenue to service delivery and captures liabilities, enabling KPI accuracy and GAAP readiness, whereas cash basis skews gross margin and runway insights; maintain accrual books in the GL and use cash dashboards for treasury.",Done,Reference Law: ASC 606; IRC §448 (cash-method limits).,For SaaS Startup 
Q102,Client Advisory,When does it make sense to switch from QuickBooks to NetSuite?,"Migrating from QuickBooks to NetSuite is advisable once ARR exceeds roughly $5–7 million, headcount tops 40, or multi-entity consolidation and ASC 606 revenue schedules outgrow QuickBooks’ functionality, because an ERP streamlines close automation, SOX controls, and audit readiness, albeit requiring dedicated admin resources.",Done,Reference Law: ASC 810 consolidation needs.,For SaaS Startup 
Q103,Client Advisory,What benchmarks are VCs looking for in terms of runway and growth?,"Investors seek at least 12 months runway, 3–4× year-over-year ARR growth, and gross margin above 70 %, because these benchmarks indicate efficient capital deployment and scalable SaaS economics, aligning with market comps and valuation norms; presenting metrics reconciled to GAAP ensures credibility.",Done,Reference Law: AICPA Guide to Software Revenue Recognition (industry practice).,For SaaS Startup 
Q104,Client Advisory,How do we know if we’re ready for a financial audit?,"Readiness for a financial audit is signaled by clean monthly closes, documented controls, ASC 606 compliance, and revenue >$10 million or investor/lender requirement; an internal pre-audit walkthrough reduces first-year fees and mitigates material-weakness risk.",Done,Reference Law: PCAOB AS 2201.,For SaaS Startup 
Q105,Client Advisory,Can you help us prepare a board reporting package?,"A board report should include GAAP P&L, balance sheet, cash-flow statement, KPIs (ARR, churn, NDR), budget-to-actuals, key wins, and risk analysis, formatted in a concise deck because investors want both high-level insights and data defensibility; supporting schedules should tie directly to the GL for traceability.",Done,Reference Law: ASC 205 full-set requirements (best practice).,For SaaS Startup 
Q106,Client Advisory,What’s the ideal budget vs. actual report format for a SaaS startup?,"An ideal budget vs. actual report shows variance dollars and percentages, rolling twelve-month view, and commentary on drivers, because trend analysis reveals operating-leverage inflection points and facilitates quick corrective action while aligning spend categories to GAAP chart-of-accounts.",Done,Reference Law: ASC 280 segment reporting concepts applied internally,For SaaS Startup 
Q107,Client Advisory,How should we structure internal cost centers?,"Cost centers should mirror functional areas—Engineering, Sales, Marketing, G&A—so expenses map cleanly to KPI calculations (e.g., CAC), while sub-departments roll up to high-level categories, preserving GAAP presentation and easing budget accountability.",Done,Reference Law: ASC 720 operating-expense structure.,For SaaS Startup 
Q108,Client Advisory,What’s the best way to model revenue projections with usage-based pricing?,"Usage-based revenue models require projecting variable consideration using historical consumption patterns and constraint guidance, then updating forecasts monthly because ASC 606 mandates recognizing amounts probable not to reverse, which improves accuracy and investor confidence.",Done,Reference Law: ASC 606-10-32-11 (variable consideration).,For SaaS Startup 
Q109,Client Advisory,How do we prioritize which metrics to report in investor updates?,"Investor updates should emphasize metrics that move valuation—ARR growth, NDR, burn multiple, gross margin—and link them to strategic milestones, as concise metric storytelling fosters trust; excessive vanity metrics dilute focus.",Done,"Reference Law: None specific, guided by SEC Regulation FD principles of clarity for public companies.",For SaaS Startup 
Q110,Client Advisory,Can you review our pitch deck from a financial perspective?,"A CPA can review your pitch deck by ensuring financial projections reconcile to GAAP statements, KPI definitions are consistent, and footnotes clarify accounting policies, thereby bolstering credibility with sophisticated investors.",Done,Reference Law: AICPA Code of Conduct (due-care principle).,For SaaS Startup 
Q111,Client Advisory,What’s a reasonable burn multiple for our current funding stage?,"Seed-stage burn multiple (net burn ÷ net new ARR) under 1.5 is generally reasonable, indicating efficient growth relative to cash outflow; consistently tracking this metric signals disciplined scaling to investors and supports valuation narratives.",Done,Reference Law: None (industry benchmark).,For SaaS Startup 
Q112,Client Advisory,Should we raise a bridge round or cut costs to extend runway?,"Raising a bridge round is appropriate when strong leading indicators exist but runway <6 months; otherwise cutting discretionary spend may extend runway without dilution, so scenario analysis that models ARR impact versus dilution cost drives the decision.",Done,Reference Law: ASC 505-10 equity considerations.,For SaaS Startup 
Q113,Client Advisory,What tax strategies should we consider before the end of the year?,"Year-end tax strategies include accelerating deductible expenses, deferring recognizable revenue where permissible under IRC §451, maximizing R&D and payroll credits, and reviewing state nexus to mitigate unexpected liabilities, thereby reducing cash tax while honoring GAAP cut-off.",Done,Reference Law: IRC §451; §41; §174.,For SaaS Startup 
Q114,Client Advisory,What financial processes should we have in place before scaling?,"Pre-scale processes should include monthly GAAP close, documented accounting policies, automated billing, SOC-1-reviewed payment processors, and segregation-of-duties matrices, because these foundations support audit readiness and investor diligence.",Done,Reference Law: COSO Principle 10.,For SaaS Startup 
Q115,Client Advisory,Should we outsource FP&A or hire in-house?,"Outsourcing FP&A is efficient until headcount surpasses 75 or complexity requires embedded analysts, as fractional experts bring sophisticated modeling without full-time cost; ensure data security and GAAP consistency in shared models.",Done,Reference Law: None (best practice).,For SaaS Startup 
Q116,Client Advisory,What’s the best way to track unit economics in early stages?,"Early-stage unit-economics tracking is best achieved by tagging revenue and variable costs per customer in the GL, using cohort dashboards to compute CAC payback and LTV, which informs pricing and marketing spend while aligning with ASC 340 capitalization guidance.",Done,Reference Law: ASC 340-40.,For SaaS Startup 
Q117,Client Advisory,Can we restructure our cap table to be more investor-friendly?,"A cap-table clean-up may involve converting SAFEs to preferred stock, eliminating fractional shares, and implementing a 10 % option pool pre-money to attract talent, thereby simplifying equity math for Series A negotiations and reducing 409A valuation complexity.",Done,Reference Law: Delaware General Corporation Law §151; IRS 409A regs for strike-price compliance.,For SaaS Startup 
Q118,Client Advisory,What’s the impact of deferred revenue on our fundraising narrative?,"Deferred-revenue balances can strengthen fundraising narratives by demonstrating contracted ARR and cash conversion, but investors will adjust valuation for remaining obligation; transparently disclosing deferred-revenue roll-forward builds trust and aligns with ASC 606 disclosure requirements.",Done,Reference Law: ASC 606-10-50-8.,For SaaS Startup 
Q119,Client Advisory,How can we simplify our chart of accounts to better reflect operations?,"Simplifying the chart of accounts uses a three-to-four-digit structure mapping to functional cost centers and excludes redundant zero-balance accounts, improving close speed and KPI attribution while maintaining GAAP presentation line items.",Done,Reference Law: ASC 205 financial-statement headings.,For SaaS Startup 
Q120,Client Advisory,How do we transition from founder-led accounting to scalable systems?,"Transitioning from founder-led accounting to scalable systems entails hiring a controller, documenting policies, integrating an ERP with billing and CRM, and instituting monthly close calendars, which collectively move the function toward audit-ready SOX-lite controls without stalling agility.",Done,Reference Law: COSO Principles 1-5 (control environment).,For SaaS Startup 
Q121,Bookkeeping,How do I record a vendor invoice that hasn’t been paid yet?,"A vendor invoice that remains unpaid should be recorded by debiting the appropriate expense or asset account and crediting Accounts Payable, because under accrual accounting expenses are recognized when incurred, ensuring liabilities and profit are properly stated; this entry also satisfies GAAP’s matching principle, and the invoice will be cleared later by debiting Accounts Payable and crediting Cash when payment is issued, but exact timing should be verified against the vendor’s terms to avoid late‐payment penalties.",Done,Reference Law: FASB ASC 705-20; ASC 405-20,For SMBs
Q122,Bookkeeping,What’s the journal entry for paying a utility bill?,"Paying a utility bill requires debiting Utilities Expense and crediting Cash (or Credit-Card Payable if settled by card) in the period the service is consumed, because utilities provide immediate benefit and must be matched against the same month’s revenue, thereby accurately reducing net income and reflecting lower cash; if the bill covers multiple months, accrue the expense monthly and record a liability to comply with GAAP cut-off rules.",Done,Reference Law: ASC 720-25,For SMBs
Q123,Bookkeeping,How should I book cash sales from a retail store?,"Cash sales from a retail store are recorded by debiting Cash, crediting Sales Revenue, and, if inventory is tracked, debiting Cost of Goods Sold and crediting Inventory, because revenue must be recognized when control transfers and inventory removed at point of sale, yielding correct gross margin and balancing assets with owners’ equity.",Done,Reference Law: ASC 606-10-25; ASC 330-10-30,For SMBs
Q124,Bookkeeping,How do I record credit card sales with processing fees?,"Credit-card sales should be booked by debiting Cash for the net deposit, debiting Merchant Fee Expense for the processor’s fee, and crediting Sales Revenue for the gross amount, because GAAP requires gross revenue presentation while separately showing selling costs, preventing understated sales and giving clear visibility into processing fees.",Done,Reference Law: ASC 606-10-55-36,For SMBs
Q125,Bookkeeping,What’s the correct entry for customer deposits?,"Customer deposits collected before providing goods or services are recorded as a liability by debiting Cash and crediting Deferred Revenue (or Customer Deposits) because funds have been received but performance obligations remain; revenue will be recognized later by debiting the liability and crediting Sales Revenue, aligning with ASC 606’s transfer-of-control concept.",Done,Reference Law: ASC 606-10-25-2,For SMBs
Q126,Bookkeeping,How do I record payroll when using a third-party provider like ADP?,"Third-party payroll processed through ADP is recorded by debiting Wages Expense for gross pay, crediting Cash for net pay, and crediting Payroll Tax Payable for withholdings and employer taxes, because the company remains liable for tax remittance and must present payroll costs gross, ensuring liabilities and expenses reflect the full economic outlay.",Done,Reference Law: ASC 710-10; IRC §3402,For SMBs
Q127,Bookkeeping,Should I record owner’s personal expenses run through the business account?,"Owner’s personal expenses run through the business must be reclassified by debiting Owner Draws (equity) and crediting Cash, rather than expensing them, because personal costs are nondeductible under tax law and recording them as business expenses would overstate deductions and misstate profit; accurate equity tracking preserves legal separation and audit integrity.",Done,Reference Law: IRC §262; ASC 505-10,For SMBs
Q128,Bookkeeping,What’s the entry for business loan principal and interest payments?,"Business-loan payments are split between interest and principal by debiting Interest Expense and Notes Payable (principal reduction) and crediting Cash, because only interest is an expense while principal reduces the liability, satisfying GAAP’s requirement to present interest separately and maintain accurate debt balances.",Done,Reference Law: ASC 470-10-35,For SMBs
Q129,Bookkeeping,How do I handle petty cash transactions?,"Petty-cash transactions are handled by establishing a Petty Cash fund (debit Petty Cash, credit Cash) and later replenishing it with an expense summary—debit individual expense accounts, credit Cash—because small disbursements cannot bypass expense recognition and reconciliation controls are needed to prevent misuse.",Done,Reference Law: COSO internal-control guidance,For SMBs
Q130,Bookkeeping,Should I record depreciation monthly or annually?,"Depreciation for fixed assets should be recorded monthly for material assets because systematic allocation matches cost to the periods benefited, reducing risk of interim overstatement of profit, although very small businesses may opt for annual entries if immaterial; consistent schedules aid budgeting and potential audits.",Done,Reference Law: ASC 360-10-35-4,For SMBs
Q131,Bookkeeping,What’s the proper entry for purchasing equipment on financing?,"Purchasing equipment on financing requires debiting Equipment (asset) and crediting Notes Payable for the financed amount, then recognizing periodic interest expense; recognizing the full asset up front ensures the balance sheet reflects resources controlled, while the liability reflects the obligation to pay.",Done,Reference Law: ASC 360-10-30; ASC 470-10,For SMBs
Q132,Bookkeeping,How do I reconcile my checking account at month-end?,"Month-end checking-account reconciliation compares book cash to bank statements, adjusts for outstanding checks and deposits in transit, and posts any unrecorded bank fees or interest, ensuring the cash figure on the balance sheet is accurate and detecting errors or fraud promptly.",Done,Reference Law: AU-C 240; COSO Control Activities,For SMBs
Q133,Bookkeeping,How do I record a customer refund?,"A customer refund is recorded by debiting Sales Returns and Allowances (contra-revenue) and crediting Cash or Accounts Receivable, restoring customer funds and reducing net revenue, preserving accurate revenue presentation and compliance with ASC 606 on consideration reversals.",Done,Reference Law: ASC 606-10-32-14,For SMBs
Q134,Bookkeeping,How should I book a bounced customer check?,"A bounced customer check is reversed by debiting Accounts Receivable and crediting Cash, with optional bank-fee expense recognition, because revenue remains valid but cash was not received, and aging should continue until payment is recollected or written off as bad debt.",Done,Reference Law: ASC 310-10-35,For SMBs
Q135,Bookkeeping,What’s the correct way to record sales tax collected?,"Sales tax collected must be recorded as a liability—debit Cash and credit Sales Tax Payable for the tax component—while sales revenue reflects only the net selling price, because the business remits tax as an agent for the state and cannot treat it as income.",Done,Reference Law: ASC 606-10-32-2,For SMBs
Q136,Bookkeeping,How do I track mileage reimbursements to employees?,"Mileage reimbursements are tracked by multiplying business miles by the IRS standard rate, then debiting Travel Expense and crediting Cash or Employee Reimbursements Payable, ensuring deductions meet substantiation requirements and employees are repaid promptly.",Done,Reference Law: Rev. Proc. 2023-14 (standard mileage rate),For SMBs
Q137,Bookkeeping,Can I combine multiple small transactions into one journal entry?,Combining many small receipts into one journal entry is allowable if it doesn’t obscure audit trails; aggregate entries should still include detailed supporting schedules so expenses remain reconcilable and classification errors are minimized.,Done,Reference Law: AU-C 230 documentation standards,For SMBs
Q138,Bookkeeping,How should I record a vendor credit?,"Vendor credits are recorded by debiting Accounts Payable (or Cash if refunded) and crediting the related expense or asset account, reducing payable balances and reversing prior charges, thus ensuring expenses align with net amounts owed.",Done,Reference Law: ASC 705-20-35,For SMBs
Q139,Bookkeeping,How do I enter bank fees or overdraft charges?,"Bank fees or overdraft charges are expensed by debiting Bank-Fee Expense and crediting Cash, recognizing costs immediately because they provide no future economic benefit and ensuring accurate cash reconciliation.",Done,Reference Law: ASC 720-35,For SMBs
Q140,Bookkeeping,What journal entry do I use for owner draws?,"Owner draws are recorded by debiting Owner Draws (equity) and crediting Cash, as distributions reduce equity rather than creating expenses, maintaining accurate profit and safeguarding against nondeductible personal outflow misclassification.",Done,Reference Law: ASC 505-10; IRC §301,For SMBs
Q141,Bookkeeping,How do I book a lease payment for office equipment?,"Lease payments for office equipment under an operating lease are recorded by debiting Lease Expense and crediting Cash; under ASC 842, a right-of-use asset and lease liability are also recognized, with each payment split between principal and interest for finance leases, so classify correctly to comply with new lease standards.",Done,Reference Law: ASC 842-20-30,For SMBs
Q142,Bookkeeping,What’s the best way to record inventory purchases?,"Inventory purchases are recorded by debiting Inventory and crediting Accounts Payable (or Cash), then relieved to Cost of Goods Sold upon sale, ensuring accurate gross margin and asset valuation, with periodic or perpetual systems acceptable if reconciled.",Done,Reference Law: ASC 330-10-30,For SMBs
Q143,Bookkeeping,Should I create journal entries for automatic bank transfers?,"Automatic bank transfers (e.g., sweeps) do not require journal entries if within the same entity’s accounts, but inter-entity transfers need reciprocal entries—debit Cash, credit Due to/Due from—so cash balances and intercompany accounts stay in sync.",Done,Reference Law: ASC 810-10-45-1,For SMBs
Q144,Bookkeeping,How do I track and record customer payments made via Zelle or Venmo?,"Customer payments via Zelle or Venmo are treated like any electronic receipt: debit Cash (or Undeposited Funds), credit Accounts Receivable or Sales Revenue, and record associated fees separately, ensuring cash-flow traceability and proper expense classification.",Done,Reference Law: ASC 230,For SMBs
Q145,Bookkeeping,How do I handle bartering transactions in my books?,"Barter transactions are recorded at fair market value by debiting the asset or expense received and crediting Revenue (if you provided goods/services) or vice versa, because GAAP views barters as reciprocal exchanges requiring revenue recognition equal to the stand-alone selling price.",Done,Reference Law: ASC 606-10-32-23,For SMBs
Q146,Bookkeeping,What’s the journal entry when I pay subcontractors?,"Paying subcontractors triggers debiting Subcontractor Expense and crediting Cash or Accounts Payable, while year-end 1099-NEC reporting requirements apply if payments exceed $600, maintaining expense recognition and IRS compliance.",Done,Reference Law: IRC §6041; ASC 705-20,For SMBs
Q147,Bookkeeping,How do I record insurance premiums paid annually?,"Annual insurance premiums are initially debited to Prepaid Insurance and credited to Cash, then monthly amortization debits Insurance Expense and credits Prepaid Insurance, aligning cost with coverage period and preventing front-loaded expense spikes.",Done,Reference Law: ASC 720-20,For SMBs
Q148,Bookkeeping,Should I accrue expenses like rent at month-end?,"Accruing rent at month-end is required when the period ends before payment date—debit Rent Expense and credit Accrued Rent—so expenses reflect occupancy costs in the correct period, avoiding profit overstatement.",Done,Reference Law: ASC 840-20 (for legacy operating-lease expense recognition),For SMBs
Q149,Bookkeeping,How do I handle prepayments for future services?,"Prepayments for future services should be capitalized to Prepaid Expense and amortized over the benefit period, because they provide future economic benefit and immediate expensing would distort current earnings; small immaterial items may be expensed immediately per materiality policy.",Done,Reference Law: ASC 340-10,For SMBs
Q150,Bookkeeping,What’s the correct entry for applying a customer credit note?,"Applying a customer credit note involves debiting Sales Returns and Allowances (or Deferred Revenue if unearned) and crediting Accounts Receivable, reducing the customer’s balance and net revenue, ensuring revenue is stated net of concessions and collectible amounts.",Done,Reference Law: ASC 606-10-32-10 through 32-14,For SMBs
Q151,Tax,What business expenses are fully deductible on my tax return?,"Ordinary and necessary business expenses—such as rent, wages, advertising, software subscriptions, insurance, professional fees, office supplies, and routine repairs—are fully deductible because IRC §162 allows you to subtract costs that are common and helpful for earning income, thereby reducing taxable profit and matching cash outflow with revenue; make sure to keep contemporaneous receipts, segregate any personal portion, and capitalize items that create long-term benefits, yet facts can vary so professional confirmation is prudent.",Done,Reference Law: IRC §162; Reg. §1.162-1,For SMBs
Q152,Tax,Can I deduct meals and entertainment expenses?,"You may deduct 50 percent of qualifying business meals if the food is provided to a client or employee and business is discussed, while most entertainment expenses remain nondeductible since the Tax Cuts and Jobs Act repealed the prior 50 percent allowance; careful contemporaneous documentation of date, place, participants, and business purpose is essential to withstand IRS scrutiny, and lavish or extravagant costs may still be challenged, so consult a CPA for edge cases.",Done,"Reference Law: IRC §274(k), §274(o); Notice 2021-25",For SMBs
Q153,Tax,Do I need to collect sales tax for online sales across state lines?,"After the Wayfair decision you generally must collect sales tax on interstate online sales once you exceed a state’s economic-nexus threshold, because states may impose collection duties without physical presence; failing to register and remit can trigger retroactive liability, penalties, and interest, so track revenue and transaction counts by jurisdiction and use a tax-automation platform to ensure correct rates and filings.",Done,"Reference Law: South Dakota v. Wayfair (2018); state statutes e.g., Cal. RTC §6203; N.Y. Tax Law §1101(b)(8)",For SMBs
Q154,Tax,What’s the difference between an LLC and S-Corp for tax purposes?,"An LLC is a legal entity with default pass-through taxation—income flows to members and self-employment tax applies—whereas an S-Corp is an IRS tax election that also passes income through but allows reasonable wages plus distributive earnings exempt from self-employment tax; selecting S-status can lower payroll taxes and facilitate fringe-benefit deductions, but it imposes strict ownership rules, one share class, and formal payroll, so weigh administrative costs against tax savings.",Done,Reference Law: IRC Subchapters K (LLC default) and S (§1361-§1379),For SMBs
Q155,Tax,When should I file estimated tax payments?,"Quarterly estimated tax payments are due when you expect to owe at least $1,000 after withholding, and should be remitted by April 15, June 15, September 15, and January 15 to avoid underpayment penalties, because IRC §6654 assesses interest on shortfalls; calculate each installment as 25 percent of the current-year liability or rely on the safe-harbor 100/110 percent prior-year rule, keeping state estimates aligned with their schedules.",Done,Reference Law: IRC §6654; Reg. §1.6654-2,For SMBs
Q156,Tax,How do I handle sales tax if I sell in multiple states?,"Selling in multiple states requires collecting the applicable rate once you meet each state’s nexus thresholds, filing separate returns, and sourcing sales based on destination, because most states use destination-based sourcing for tangible or digital goods; a unified tax engine, exemption-certificate management, and periodic nexus reviews minimize errors and audit exposure.",Done,Reference Law: Wayfair; Multistate Tax Commission guidance,For SMBs
Q157,Tax,Do I need to file state taxes even if I don’t operate in that state?,"State income-tax returns may be required even without in-state operations if your sales exceed economic-nexus thresholds or if the state assesses a franchise or gross-receipts tax on revenue sourced there, so monitor apportionment factors and register proactively to avoid surprise assessments, though P.L. 86-272 may protect pure solicitation of tangible goods.",Done,Reference Law: P.L. 86-272; individual state income-tax statutes,For SMBs
Q158,Tax,Can I deduct my home office if I sometimes work from home?,"A home-office deduction is allowed when a space is used exclusively and regularly as your principal place of business, letting you deduct a pro-rata share of rent, utilities, and other house costs (actual or simplified $5 per square foot up to 300 sq ft); documentation of floorplan and photos strengthens the claim and ties expenses to business use, but mixed-use rooms disqualify the space.",Done,Reference Law: IRC §280A(c)(1); Rev. Proc. 2013-13,For SMBs
